,Player,Season,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
109,voshon-lenard,Career,Minnesota,,127,29.7,5.7,12.7,0.44799999999999995,3.5,6.8,0.521,2.2,5.9,0.366,3.0,3.7,0.802,3.8,2.5,1.4,0.3,1.9,2.6,16.6
110,damian-lillard,Career,Weber State,,104,33.6,5.6,12.6,0.446,3.3,6.5,0.49700000000000005,2.4,6.1,0.39,5.0,5.8,0.867,4.3,3.5,1.2,0.2,2.4,1.4,18.6
111,kendall-marshall,Career,UNC,,73,28.8,2.5,5.6,0.446,1.8,3.8,0.484,0.7,1.8,0.366,1.5,2.2,0.693,2.3,8.0,1.1,0.1,2.6,1.5,7.2
112,glen-rice,Career,Michigan,,134,29.8,7.5,13.1,0.569,7.5,12.6,0.591,1.3,2.8,0.48,2.3,2.8,0.797,6.4,2.0,0.8,0.3,1.8,1.9,18.2
113,jason-richardson,Career,Michigan State,,70,21.7,3.7,7.4,0.503,2.9,5.3,0.551,0.8,2.1,0.38299999999999995,1.4,2.1,0.649,5.0,1.4,0.8,0.5,1.1,1.9,9.6
114,bryon-russell,Career,Long Beach State,,86,27.1,4.2,8.2,0.513,3.8,7.2,0.5379999999999999,0.4,1.0,0.344,2.9,4.2,0.6829999999999999,6.6,1.6,1.4,0.6,2.1,3.2,11.7
115,kyle-singler,Career,Duke,,148,35.4,5.5,12.7,0.433,3.7,7.7,0.479,1.8,5.0,0.363,3.4,4.3,0.773,6.9,2.0,1.1,0.7,2.1,1.2,16.2
116,nick-young,Career,USC,,96,31.1,5.8,11.9,0.484,4.8,9.2,0.518,1.0,2.7,0.368,3.0,3.9,0.764,5.1,1.4,0.8,0.3,,,15.5
117,demarre-carroll,Career,Overall,,134,,4.5,8.4,0.535,4.3,7.6,0.5589999999999999,0.2,0.7,0.281,2.1,3.5,0.603,6.0,1.6,1.1,0.4,1.5,,11.2
118,randy-foye,Career,Villanova,,131,31.3,5.2,13.1,0.39899999999999997,3.6,8.1,0.441,1.6,4.9,0.32899999999999996,3.0,3.8,0.7809999999999999,4.8,3.2,1.5,0.4,,,15.0
119,kerry-kittles,Career,Villanova,,122,36.1,6.7,14.1,0.478,4.5,8.3,0.536,2.3,5.8,0.39399999999999996,2.6,3.7,0.7190000000000001,5.9,3.3,2.3,0.4,2.0,1.5,18.4
